Actual,Predicted,Error
0.0,45.46529874555813,-45.46529874555813
0.0,45.4679945154125,-45.4679945154125
0.0,45.46811615614388,-45.46811615614388
0.0,45.239380493444344,-45.239380493444344
0.0,45.46410399534068,-45.46410399534068
0.0,45.463803795649596,-45.463803795649596
0.0,44.98735389608714,-44.98735389608714
0.0,45.46432690882091,-45.46432690882091
0.0,45.4868958073219,-45.4868958073219
0.0,45.48996183286317,-45.48996183286317
0.0,45.492571793456875,-45.492571793456875
0.0,45.48689397516108,-45.48689397516108
0.0,45.48694007811423,-45.48694007811423
0.0,45.49142723565495,-45.49142723565495
0.0,45.487604047877824,-45.487604047877824
0.0,45.486895869598015,-45.486895869598015
0.0,45.487171565344966,-45.487171565344966
0.0,45.49029823261799,-45.49029823261799
0.0,45.489009155656504,-45.489009155656504
0.0,45.20193353270258,-45.20193353270258
0.0,45.49045934484053,-45.49045934484053
0.0,45.48734898374585,-45.48734898374585
0.0,45.488390208541034,-45.488390208541034
0.0,45.491085978395404,-45.491085978395404
0.0,45.49120761912678,-45.49120761912678
0.0,45.26247195642725,-45.26247195642725
0.0,45.48719545832353,-45.48719545832353
0.0,45.4868952586325,-45.4868952586325
0.0,45.01044535907005,-45.01044535907005
0.0,45.48741837180381,-45.48741837180381
0.0,45.476984523086685,-45.476984523086685
0.0,45.4800505486279,-45.4800505486279
0.0,45.48266050922166,-45.48266050922166
0.0,45.476982690925865,-45.476982690925865
0.0,45.47702879387896,-45.47702879387896
0.0,45.48151595141968,-45.48151595141968
0.0,45.47769276364255,-45.47769276364255
0.0,45.47698458536274,-45.47698458536274
0.0,45.47726028110969,-45.47726028110969
0.0,45.480386948382716,-45.480386948382716
0.0,45.47909787142129,-45.47909787142129
0.0,45.19202224846731,-45.19202224846731
0.0,45.48054806060526,-45.48054806060526
0.0,45.47743769951063,-45.47743769951063
0.0,45.47847892430582,-45.47847892430582
0.0,45.48117469416019,-45.48117469416019
0.0,45.48129633489157,-45.48129633489157
0.0,45.25256067219203,-45.25256067219203
0.0,45.47728417408831,-45.47728417408831
0.0,45.476983974397285,-45.476983974397285
